,Date,District,Final_aqi
481,2024-10-23,Kasur,97.39031829166667
482,2024-10-23,Khanewal,104.90429166666667
483,2024-10-23,Khushab,71.037755125
484,2024-10-23,Lahore,116.78228479166667
485,2024-10-23,Layyah,82.16594716666667
486,2024-10-23,Lodhran,103.29998325000001
487,2024-10-23,Mandi Bahuddin,93.959852
488,2024-10-23,Mianwali,71.728418625
489,2024-10-23,Multan,96.80609491666667
490,2024-10-23,Muzaffargarh,89.218266125
491,2024-10-23,Nankana Sahib,98.15635633333333
492,2024-10-23,Narowal,88.14777604166666
493,2024-10-23,Okara,98.325653
494,2024-10-23,Pakpattan,112.68897566666668
495,2024-10-23,Rahim Yar Khan,99.0654245
496,2024-10-23,Rajanpur,94.26108516666666
497,2024-10-23,Rawalpindi,83.03568641666666
498,2024-10-23,Sahiwal,109.85376620833334
499,2024-10-23,Sargodha,98.51886345833333
500,2024-10-23,Sheikhupura,116.04196491666666
501,2024-10-23,Sialkot,89.14940245833333
502,2024-10-23,Toba Tek Singh,106.73910024999999
503,2024-10-23,Vehari,109.08124595833334
504,2024-10-24,Attock,99.95992079166666
505,2024-10-24,Bahawalnagar,107.89338108333334
506,2024-10-24,Bahawalpur,148.22764291666667
507,2024-10-24,Bhakkar,98.283714375
508,2024-10-24,Chakwal,90.62988841666667
509,2024-10-24,Chiniot,126.65953341666666
510,2024-10-24,Dera Ghazi Khan,108.32968645833334
511,2024-10-24,Faisalabad,111.28738770833333
512,2024-10-24,Gujranwala,118.74427874999999
513,2024-10-24,Gujrat,97.36946154166667
514,2024-10-24,Hafizabad,115.01886999999999
515,2024-10-24,Jhang,122.16866925
516,2024-10-24,Jhelum,105.19889945833334
517,2024-10-24,Kasur,113.63264995833333
518,2024-10-24,Khanewal,111.30361191666667
519,2024-10-24,Khushab,93.993744375
520,2024-10-24,Lahore,149.05523379166667
521,2024-10-24,Layyah,102.82199200000001
522,2024-10-24,Lodhran,105.51867508333333
523,2024-10-24,Mandi Bahuddin,114.98918816666666
524,2024-10-24,Mianwali,95.13597916666667
525,2024-10-24,Multan,108.38675104166667
526,2024-10-24,Muzaffargarh,105.084276875
527,2024-10-24,Nankana Sahib,115.042238625
528,2024-10-24,Narowal,111.44944270833332
529,2024-10-24,Okara,99.68978570833333
530,2024-10-24,Pakpattan,112.89484941666667
531,2024-10-24,Rahim Yar Khan,96.08481975000001
532,2024-10-24,Rajanpur,94.940597875
533,2024-10-24,Rawalpindi,100.040791
534,2024-10-24,Sahiwal,110.39594370833333
535,2024-10-24,Sargodha,117.72500508333333
536,2024-10-24,Sheikhupura,146.780724625
537,2024-10-24,Sialkot,113.18454204166666
538,2024-10-24,Toba Tek Singh,110.02963529166668
539,2024-10-24,Vehari,108.89461508333333
540,2024-10-25,Attock,89.37250625
541,2024-10-25,Bahawalnagar,117.1470635
542,2024-10-25,Bahawalpur,151.67507291666666
543,2024-10-25,Bhakkar,100.72835333333335
544,2024-10-25,Chakwal,83.15843970833333
545,2024-10-25,Chiniot,120.01680725
546,2024-10-25,Dera Ghazi Khan,119.3817835
547,2024-10-25,Faisalabad,119.11489504166667
548,2024-10-25,Gujranwala,108.89092095833333
549,2024-10-25,Gujrat,85.13026529166667
550,2024-10-25,Hafizabad,106.86031916666667
551,2024-10-25,Jhang,131.1788615
552,2024-10-25,Jhelum,92.132538625
553,2024-10-25,Kasur,116.13190537499999
554,2024-10-25,Khanewal,120.14385508333334
555,2024-10-25,Khushab,87.888134625
556,2024-10-25,Lahore,149.98832375
557,2024-10-25,Layyah,107.071936
558,2024-10-25,Lodhran,117.37824129166667
559,2024-10-25,Mandi Bahuddin,106.62254420833334
560,2024-10-25,Mianwali,87.77932704166666
561,2024-10-25,Multan,117.24390787499999
562,2024-10-25,Muzaffargarh,111.14837104166668
563,2024-10-25,Nankana Sahib,118.10347079166667
564,2024-10-25,Narowal,98.16501312499999
565,2024-10-25,Okara,107.66981525
566,2024-10-25,Pakpattan,123.658303
567,2024-10-25,Rahim Yar Khan,91.355230375
568,2024-10-25,Rajanpur,90.82277808333333
569,2024-10-25,Rawalpindi,89.00157083333333
570,2024-10-25,Sahiwal,119.11697625
571,2024-10-25,Sargodha,113.37900329166666
572,2024-10-25,Sheikhupura,132.30981666666665
573,2024-10-25,Sialkot,97.46450970833332
574,2024-10-25,Toba Tek Singh,120.22259637500001
575,2024-10-25,Vehari,123.66182016666666
576,2024-10-26,Attock,91.90855941666666
577,2024-10-26,Bahawalnagar,125.553123875
578,2024-10-26,Bahawalpur,135.11661458333333
579,2024-10-26,Bhakkar,90.03347933333333
580,2024-10-26,Chakwal,81.80387858333333
581,2024-10-26,Chiniot,119.41721100000001
582,2024-10-26,Dera Ghazi Khan,103.45934854166667
583,2024-10-26,Faisalabad,120.75746645833334
584,2024-10-26,Gujranwala,100.80023983333332
585,2024-10-26,Gujrat,79.790182375
586,2024-10-26,Hafizabad,104.4999385
587,2024-10-26,Jhang,121.839809625
588,2024-10-26,Jhelum,95.577074375
589,2024-10-26,Kasur,108.975778375
590,2024-10-26,Khanewal,118.37755608333333
591,2024-10-26,Khushab,88.51571179166666
592,2024-10-26,Lahore,128.889115375
593,2024-10-26,Layyah,100.126795625
594,2024-10-26,Lodhran,122.848756875
595,2024-10-26,Mandi Bahuddin,104.73614545833334
596,2024-10-26,Mianwali,84.581574
597,2024-10-26,Multan,114.73116245833334
598,2024-10-26,Muzaffargarh,102.43378254166667
