date,hour,District,AQI
11/7/2024,23:00,Khanewal,182.425
11/7/2024,23:00,Khushab,214.52
11/7/2024,23:00,Lahore,190.515
11/7/2024,23:00,Layyah,165.15
11/7/2024,23:00,Lodhran,260.03
11/7/2024,23:00,Mandi Bahuddin,226.85
11/7/2024,23:00,Mianwali,162.445
11/7/2024,23:00,Multan,202.625
11/7/2024,23:00,Muzaffargarh,190.79
11/7/2024,23:00,Nankana Sahib,186.795
11/7/2024,23:00,Narowal,202.835
11/7/2024,23:00,Okara,180.05
11/7/2024,23:00,Pakpattan,149.95
11/7/2024,23:00,Rahim Yar Khan,176.28
11/7/2024,23:00,Rajanpur,175.545
11/7/2024,23:00,Rawalpindi,171.05
11/7/2024,23:00,Sahiwal,162.56
11/7/2024,23:00,Sargodha,224.265
11/7/2024,23:00,Sheikhupura,216.44
11/7/2024,23:00,Sialkot,219.23
11/7/2024,23:00,Toba Tek Singh,158.56
11/7/2024,23:00,Vehari,203.725
11/7/2024,2:00,Attock,190.385
11/7/2024,2:00,Bahawalnagar,164.48
11/7/2024,2:00,Bahawalpur,148.05
11/7/2024,2:00,Bhakkar,185.28
11/7/2024,2:00,Chakwal,159.695
11/7/2024,2:00,Chiniot,263.405
11/7/2024,2:00,Dera Ghazi Khan,150.2
11/7/2024,2:00,Faisalabad,251.56
11/7/2024,2:00,Gujranwala,191.145
11/7/2024,2:00,Gujrat,158.03
11/7/2024,2:00,Hafizabad,264.08
11/7/2024,2:00,Jhang,221.225
11/7/2024,2:00,Jhelum,182.98
11/7/2024,2:00,Kasur,212.105
11/7/2024,2:00,Khanewal,174.745
11/7/2024,2:00,Khushab,251.43
11/7/2024,2:00,Lahore,291.385
11/7/2024,2:00,Layyah,214.235
11/7/2024,2:00,Lodhran,194.345
11/7/2024,2:00,Mandi Bahuddin,243.225
11/7/2024,2:00,Mianwali,170.575
11/7/2024,2:00,Multan,204.855
11/7/2024,2:00,Muzaffargarh,210.09
11/7/2024,2:00,Nankana Sahib,213.905
11/7/2024,2:00,Narowal,150.82
11/7/2024,2:00,Okara,191.955
11/7/2024,2:00,Pakpattan,174.57
11/7/2024,2:00,Rahim Yar Khan,158.855
11/7/2024,2:00,Rajanpur,112.325
11/7/2024,2:00,Rawalpindi,299.48
11/7/2024,2:00,Sahiwal,177.895
11/7/2024,2:00,Sargodha,279.83
11/7/2024,2:00,Sheikhupura,396.905
11/7/2024,2:00,Sialkot,170.3
11/7/2024,2:00,Toba Tek Singh,181.73
11/7/2024,2:00,Vehari,190.345
11/7/2024,3:00,Attock,206.725
11/7/2024,3:00,Bahawalnagar,166.15
11/7/2024,3:00,Bahawalpur,133.755
11/7/2024,3:00,Bhakkar,196.2
11/7/2024,3:00,Chakwal,175.215
11/7/2024,3:00,Chiniot,258.6
11/7/2024,3:00,Dera Ghazi Khan,151.375
11/7/2024,3:00,Faisalabad,262.045
11/7/2024,3:00,Gujranwala,189.95
11/7/2024,3:00,Gujrat,159.075
11/7/2024,3:00,Hafizabad,260.24
11/7/2024,3:00,Jhang,214.89
11/7/2024,3:00,Jhelum,192.625
11/7/2024,3:00,Kasur,209.695
11/7/2024,3:00,Khanewal,175.59
11/7/2024,3:00,Khushab,250.985
11/7/2024,3:00,Lahore,311.83
11/7/2024,3:00,Layyah,222.12
11/7/2024,3:00,Lodhran,191.66
11/7/2024,3:00,Mandi Bahuddin,242.08
11/7/2024,3:00,Mianwali,175.085
11/7/2024,3:00,Multan,207.015
11/7/2024,3:00,Muzaffargarh,212.42
11/7/2024,3:00,Nankana Sahib,213.095
11/7/2024,3:00,Narowal,151.205
11/7/2024,3:00,Okara,190.34
